COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
ETANOL HIDRATADO  ;1990; REGIÃO NORTE ; RONDÔNIA ; m3 ;3892,205;9168,824;4222,571;5791,024;4078,403;5031,167;5515,3;4331,283;4642,943;6665,38;7139,711;5356,782;65835,593; 
ETANOL HIDRATADO  ;1990; REGIÃO NORTE ; ACRE ; m3 ;860,685;1027,991;919,66;1849,276;727,958;966,731;986,084;684,643;975,116;797,041;1514,678;899,8;12209,663; 
ETANOL HIDRATADO  ;1990; REGIÃO NORTE ; AMAZONAS ; m3 ;5395,501;11208,3;5540,531;6761,761;4971,815;5489,375;5532,771;5164,293;5594,052;7637,051;7657,094;6072,715;77025,259; 
ETANOL HIDRATADO  ;1990; REGIÃO NORTE ; RORAIMA ; m3 ;719,876;494,664;589,563;1290,234;568,781;586,878;570,082;303,268;610,369;429,254;1208,46;680,6;8052,029; 
ETANOL HIDRATADO  ;1990; REGIÃO NORTE ; PARÁ ; m3 ;10715,463;17791,872;11708,482;15992,632;8629,946;12436,147;13764,159;11323,968;12676,087;15000,534;16419,354;12886,007;159344,651; 
ETANOL HIDRATADO  ;1990; REGIÃO NORTE ; AMAPÁ ; m3 ;713,3;585,397;807,325;1335,412;460,824;821,484;793,744;635,681;762,374;693,288;912,514;546,851;9068,194; 
ETANOL HIDRATADO  ;1990; REGIÃO NORTE ; TOCANTINS ; m3 ;3045,873;2000,092;2269,332;1427,205;1798,599;2492,736;2794,825;2566,461;2648,069;2310,102;3851,261;2794,228;29998,783; 
ETANOL HIDRATADO  ;1990; REGIÃO NORDESTE ; MARANHÃO ; m3 ;7578,939;11475,757;6385,067;10140,217;5947,391;6680,644;7508,708;6672,012;6808,786;8597,352;8958,487;7510,791;94264,151; 
ETANOL HIDRATADO  ;1990; REGIÃO NORDESTE ; PIAUÍ ; m3 ;4137,585;4840,848;3480,472;5645,497;3754,58;3836,841;4002,313;3226,597;3714,4;3922,561;5029,967;3989,435;49581,096; 
ETANOL HIDRATADO  ;1990; REGIÃO NORDESTE ; CEARÁ ; m3 ;18160,259;12880,395;13589,795;21346,975;12661,087;13379,255;15582,66;12898,727;15500,054;12746,58;19016,844;14351,777;182114,408; 
