COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORTE ; RONDÔNIA ; m3 ;146,953;59,357;68,028;136,278;95,69;132,956;91,798;139,6;110,576;56,841;153,373;111,271;1302,721; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORTE ; ACRE ; m3 ;61,073;50,384;48,764;116,25;68,859;43,844;55,047;54,777;79,168;18,206;101,802;54,329;752,503; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORTE ; AMAZONAS ; m3 ;648,55;586,448;102,324;273,873;446,7;538,672;424,3;393,941;960,233;214,536;1442,521;513,895;6545,993; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORTE ; RORAIMA ; m3 ;577,223;289,494;68,886;140,987;272,673;59,9;72,865;66,857;168,235;42,989;126,035;412,824;2298,968; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORTE ; PARÁ ; m3 ;1561,092;951,939;880,585;1500,227;807,69;1120,037;1227,51;1302,86;861,278;954,956;1762,156;1230,46;14160,79; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORTE ; AMAPÁ ; m3 ;51,853;19,769;8,569;10,89;17,327;3,351;5,474;10,279;10,81;19,48;65,303;66,008;289,113; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORTE ; TOCANTINS ; m3 ;79,502;86,254;56,626;1,073;91,641;60,163;57,621;47,387;201,699;59,307;107,675;53,427;902,375; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORDESTE ; MARANHÃO ; m3 ;192,497;52,481;31,409;30,842;30,419;26,148;28,948;39,455;110,522;38,694;85,359;59,577;726,351; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORDESTE ; PIAUÍ ; m3 ;56,288;56,637;68,318;115,13;40,906;54,295;84,957;69,031;97,922;36,951;89,129;58,17;827,734; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORDESTE ; CEARÁ ; m3 ;173,09;109,343;84,816;116,058;82,761;71,379;119,935;90,58;44,21;62,307;181,657;100,687;1236,823; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORDESTE ; RIO GRANDE DO NORTE ; m3 ;9,567;20,263;7,703;13,042;16,982;6,213;6,493;15,277;23,593;19,928;27,27;26,746;193,077; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORDESTE ; PARAÍBA ; m3 ;0;9,983;0;24,248;0;6,636;7,539;5,803;21,528;0;7,245;11,706;94,688; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORDESTE ; PERNAMBUCO ; m3 ;305,6;174,962;151,817;130,48;146,045;141,118;131,996;188,251;141,694;147,455;172,023;164,088;1995,529; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORDESTE ; ALAGOAS ; m3 ;47,864;17,354;25,023;18,517;26,514;29,508;27,553;38,429;22,173;24,91;27,82;24,621;330,286; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORDESTE ; SERGIPE ; m3 ;26,355;14,103;12,212;15,831;14,284;14,1;15,507;12,863;9,162;12,16;10,571;15,881;173,029; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO NORDESTE ; BAHIA ; m3 ;494,186;273,701;201,675;228,088;190,175;129,025;240,966;138,832;339,248;122,82;281,949;275,036;2915,701; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO SUDESTE ; MINAS GERAIS ; m3 ;527,842;434,86;435,465;609,209;450,727;401,095;383,894;398,213;277,042;241,337;754,618;295,509;5209,811; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO SUDESTE ; ESPÍRITO SANTO ; m3 ;72,757;22,008;28,185;8,538;46,206;19,085;24,551;29,85;29,615;28,406;15,85;49,847;374,898; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO SUDESTE ; RIO DE JANEIRO ; m3 ;392,622;382,619;1223,779;1084,297;297,034;143,652;159,405;952,808;212,078;177,258;225,622;289,331;5540,505; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO SUDESTE ; SÃO PAULO ; m3 ;2229,933;1865,776;1090,809;1742,921;1335,889;1331,459;1259,478;1349,13;1353,302;1219,319;1969,319;1526,814;18274,149; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO SUL ; PARANÁ ; m3 ;412,758;475,714;205,839;329,489;223,219;171,612;171,953;196,519;212,553;152,317;404,644;362,878;3319,495; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO SUL ; SANTA CATARINA ; m3 ;55,641;60,105;48,558;85,725;42,209;25,172;35,299;34,15;30,688;44,98;21,308;49,737;533,572; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO SUL ; RIO GRANDE DO SUL ; m3 ;1383,573;907,075;250,908;279,1;226,48;141,818;152,337;238,656;393,7;657,135;1254,749;1097,981;6983,512; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO CENTRO-OESTE ; MATO GROSSO DO SUL ; m3 ;558,055;286,288;206,127;232,286;139,609;226,346;292,404;230,481;269,01;239,923;462,835;337,561;3480,925; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO CENTRO-OESTE ; MATO GROSSO ; m3 ;1508,893;516,397;749,402;1025,527;466,27;817,778;678,791;720,092;493,116;407,853;992,967;884,43;9261,516; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO CENTRO-OESTE ; GOIÁS ; m3 ;664,803;357,297;292,526;568,804;336,941;320,199;455,036;440,178;426,81;270,529;654,075;426,095;5213,293; 
GASOLINA DE AVIAÇÃO ;1990; REGIÃO CENTRO-OESTE ; DISTRITO FEDERAL ; m3 ;227,086;141,387;73,882;105,395;115,749;95,162;105,299;111,275;105,881;98,898;155,426;107,471;1442,911; 
GASOLINA DE AVIAÇÃO ;1991; REGIÃO NORTE ; RONDÔNIA ; m3 ;25,081;37,423;43,349;55,663;66,615;48,531;90,021;103,424;79,632;60,49;34,548;55,353;700,13; 
GASOLINA DE AVIAÇÃO ;1991; REGIÃO NORTE ; ACRE ; m3 ;79,448;71,631;46,721;54,078;74,679;66,465;94,3;121,144;101,287;67,753;58,968;117,755;954,229; 
GASOLINA DE AVIAÇÃO ;1991; REGIÃO NORTE ; AMAZONAS ; m3 ;51,478;40,075;151,587;121,468;46,014;89,946;79,219;97,2;48,558;107,399;62,483;171,996;1067,423; 
GASOLINA DE AVIAÇÃO ;1991; REGIÃO NORTE ; RORAIMA ; m3 ;168,41;223,604;129,938;209,431;228,285;285,156;246,519;489,944;112,047;87,823;140,922;126,072;2448,151; 
