COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
GASOLINA C  ;1990; REGIÃO NORTE ; RONDÔNIA ; m3 ;5649,22;10335,684;4631,432;7555,818;4755,611;6807,754;7354,65;5678,016;6311,886;8211,639;10303,031;7060,996;84655,737; 
GASOLINA C  ;1990; REGIÃO NORTE ; ACRE ; m3 ;1142,019;1653,924;1173,652;2078,742;1171,839;1380,783;1211,668;1167,369;1487,706;965,736;2358,966;1130,925;16923,329; 
GASOLINA C  ;1990; REGIÃO NORTE ; AMAZONAS ; m3 ;6767,468;16605,555;6930,072;9990,788;7492,369;7213,748;7318,659;7488,324;7826,823;9833,794;11236,255;8340,209;107044,064; 
GASOLINA C  ;1990; REGIÃO NORTE ; RORAIMA ; m3 ;1574,584;1187,389;1501,571;2820,734;1344,081;1198,849;1203,233;680,995;1380,81;906,434;2608,364;1339,563;17746,607; 
GASOLINA C  ;1990; REGIÃO NORTE ; PARÁ ; m3 ;9356,843;17196,24;9970,636;13176,618;10431,145;10492,535;12291,377;8853,251;11353,901;15844,726;13771,535;10654,959;143393,766; 
GASOLINA C  ;1990; REGIÃO NORTE ; AMAPÁ ; m3 ;847,772;656,181;1017,031;1739,066;1183,963;1068,22;973,919;719,364;1083,158;1002,319;1459,034;1171,995;12922,022; 
GASOLINA C  ;1990; REGIÃO NORTE ; TOCANTINS ; m3 ;2042,179;1533,586;1586,151;906,086;1484,331;1737,537;1926,853;1669,842;1722,592;1514,674;2058,397;1818,033;20000,261; 
GASOLINA C  ;1990; REGIÃO NORDESTE ; MARANHÃO ; m3 ;4947,031;9201,851;4386,831;6624,669;5064,524;4793,948;5074,002;4702,55;5107,71;7694,599;5966,188;5253,968;68817,871; 
GASOLINA C  ;1990; REGIÃO NORDESTE ; PIAUÍ ; m3 ;3723,91;5090,81;3646,232;5785,129;3725,378;3779,679;4001,129;3172,345;3624,67;3658,816;4943,169;3907,394;49058,661; 
GASOLINA C  ;1990; REGIÃO NORDESTE ; CEARÁ ; m3 ;15414,232;12339,665;12633,543;18635,914;13339,676;12859,809;15166,238;12655,084;15470,99;12543,04;18176,925;15212,916;174448,032; 
