COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
GLP ;1990; REGIÃO NORTE ; RONDÔNIA ; m3 ;5209,51087;3598,762681;4654,728261;4295,057971;4769,416667;4339,233696;4952,889493;4751,902174;3534,40942;5303,976449;4960,902174;4098,163043;54468,9529; 
GLP ;1990; REGIÃO NORTE ; ACRE ; m3 ;1310,456522;1212,697464;1268;1557,637681;1417,019928;1301,731884;1639,318841;1464,824275;918,1902174;1586,735507;1882,293478;1322,498188;16881,40399; 
GLP ;1990; REGIÃO NORTE ; AMAZONAS ; m3 ;7361,867754;5231,936594;6520,599638;6220,833333;7396,851449;7071,675725;6540,934783;7408,516304;6409,612319;6634,876812;6746,632246;6579,211957;80123,54891; 
GLP ;1990; REGIÃO NORTE ; RORAIMA ; m3 ;761,3278986;516,884058;602,682971;881,3568841;834,5923913;662,1141304;707,8641304;726,6195652;740,6086957;690,8025362;780,1014493;727,0018116;8631,956522; 
GLP ;1990; REGIÃO NORTE ; PARÁ ; m3 ;17315,75543;15121,78261;26476,69746;15776,4529;17221,50543;16135,28261;17055,1721;17255,67572;27719,80254;9934,894928;20910,87319;16521,88043;217445,7754; 
GLP ;1990; REGIÃO NORTE ; AMAPÁ ; m3 ;1150,11413;908,6521739;1964,853261;1040,57971;1029,032609;984,2844203;993,8586957;1047,451087;2080,423913;922,6068841;912,5434783;1279,898551;14314,29891; 
GLP ;1990; REGIÃO NORTE ; TOCANTINS ; m3 ;7676,53442;6992,690217;6726,815217;7110,855072;7604,661232;7564,755435;8335,664855;8520,42029;8460,40942;8256,148551;8339,257246;8155,512681;93743,72464; 
GLP ;1990; REGIÃO NORDESTE ; MARANHÃO ; m3 ;11310,86957;9117,032609;10658,61594;10383,56884;11054,72101;10922,99094;11647,73913;11769,02717;11291,69928;11186,43478;11817,61232;11643,94928;132804,2609; 
GLP ;1990; REGIÃO NORDESTE ; PIAUÍ ; m3 ;8080,507246;6561,634058;7321,163043;7498,628623;8200,813406;8128,474638;8223,351449;8616,048913;8069,007246;8625,576087;8016,275362;8348,661232;95690,1413; 
GLP ;1990; REGIÃO NORDESTE ; CEARÁ ; m3 ;21607,13043;16565,66304;18321,18841;19335,80797;20376,5163;20231,67572;21066,71196;21692,11051;20703,88949;21709,98732;20744,04348;22376,58877;244731,3134; 
