COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
ÓLEO COMBUSTÍVEL ;1990; REGIÃO NORTE ; RONDÔNIA ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
ÓLEO COMBUSTÍVEL ;1990; REGIÃO NORTE ; ACRE ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
ÓLEO COMBUSTÍVEL ;1990; REGIÃO NORTE ; AMAZONAS ; m3 ;8653,645918;10344,24898;18502,77449;42708,14286;8621,912245;18792,07347;10982,10816;28878,1449;14164,26531;6819,762245;17219,81837;8486,378571;194173,2755; 
ÓLEO COMBUSTÍVEL ;1990; REGIÃO NORTE ; RORAIMA ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
ÓLEO COMBUSTÍVEL ;1990; REGIÃO NORTE ; PARÁ ; m3 ;14783,66735;11372,58163;10106,42857;19731,9898;11825,62857;12720,48061;17563,24388;9710,50102;17376,03673;14571,83776;26870,18776;15727,3551;182359,9388; 
ÓLEO COMBUSTÍVEL ;1990; REGIÃO NORTE ; AMAPÁ ; m3 ;0;0;0;61,2244898;0;0;0;0;100,2755102;0;0;0;161,5; 
ÓLEO COMBUSTÍVEL ;1990; REGIÃO NORTE ; TOCANTINS ; m3 ;52,6122449;29,82653061;58,13265306;59,59183673;29,83673469;58,70408163;26,94897959;82,17346939;90,25510204;60,2755102;28,12244898;54,2755102;630,755102; 
ÓLEO COMBUSTÍVEL ;1990; REGIÃO NORDESTE ; MARANHÃO ; m3 ;10600,44388;18962,52857;7358,684694;12888,30408;10450,29898;10160,81429;9189,961224;8708,479592;8988,880612;8153,377551;13976,02857;9387,970408;128825,7724; 
ÓLEO COMBUSTÍVEL ;1990; REGIÃO NORDESTE ; PIAUÍ ; m3 ;332,7479592;168,6918367;109,4561224;227,6367347;186,2714286;169,2846939;103,1581633;80,18673469;431,3030612;231,2102041;750,6642857;268,1826531;3058,793878; 
ÓLEO COMBUSTÍVEL ;1990; REGIÃO NORDESTE ; CEARÁ ; m3 ;4954,894898;3994,986735;3462,686735;7070,3;3057,882653;4950,405102;3804,742857;3113,32551;4550,062245;2563,959184;10454,96939;4225,857143;56204,07245; 
