COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
ÓLEO DIESEL ;1990; REGIÃO NORTE ; RONDÔNIA ; m3 ;31223,454;59117,783;37467,488;66701,428;35990,067;52283,803;54636,241;46171,985;39978,292;39835,447;75843,433;38142,53;577391,951; 
ÓLEO DIESEL ;1990; REGIÃO NORTE ; ACRE ; m3 ;5146,682;6386,054;6612,945;8180,178;5933,834;5716,212;6180,928;6287,904;5744,948;3495,026;9903,74;5136,694;74725,145; 
ÓLEO DIESEL ;1990; REGIÃO NORTE ; AMAZONAS ; m3 ;20922,969;35483,094;24130,808;36859,954;21686,564;25898,492;46279,631;44512,589;26688,447;20790,007;37352,642;29764,751;370369,948; 
ÓLEO DIESEL ;1990; REGIÃO NORTE ; RORAIMA ; m3 ;7741,178;6611,75;5180,971;12693,16;6402,053;5427,154;4992,621;3726,172;6311,357;3455,714;12780,738;7022,75;82345,618; 
ÓLEO DIESEL ;1990; REGIÃO NORTE ; PARÁ ; m3 ;57332,07;100431,374;53276,699;82668,605;58256,778;63008,399;77262,545;70487,13;72944,021;78352,277;95790,61;62111,952;871922,46; 
ÓLEO DIESEL ;1990; REGIÃO NORTE ; AMAPÁ ; m3 ;3661,245;3265,977;4347,785;5749,108;4128,016;3934,609;4660,08;4961,451;6297,13;4686,655;7405,249;3289,32;56386,625; 
ÓLEO DIESEL ;1990; REGIÃO NORTE ; TOCANTINS ; m3 ;21462,02;22967,589;16025,679;10877,322;18555,029;18297,631;21574,95;20832,464;21880,42;20144,491;35042,171;22195,431;249855,197; 
ÓLEO DIESEL ;1990; REGIÃO NORDESTE ; MARANHÃO ; m3 ;34398,202;58178,129;31474,863;51020,692;31680,034;37493,329;39389,375;38510,594;35599,038;49120,361;48183,827;34411,078;489459,522; 
ÓLEO DIESEL ;1990; REGIÃO NORDESTE ; PIAUÍ ; m3 ;14878,102;18652,3;12992,941;20215,305;13150,327;14124,098;14996,019;13681,404;12893,892;12326,206;20556,512;14010,269;182477,375; 
ÓLEO DIESEL ;1990; REGIÃO NORDESTE ; CEARÁ ; m3 ;30195,498;26534,249;27366,741;36495,493;27514,985;29706,106;32583,155;30049,823;33949,073;27999,005;40375,256;29860,557;372629,941; 
ÓLEO DIESEL ;1990; REGIÃO NORDESTE ; RIO GRANDE DO NORTE ; m3 ;15920,182;12420,656;14205,247;21089,694;13864,252;14751,357;15686,153;13196,976;17481,275;12724,485;21709,961;16828,128;189878,366; 
ÓLEO DIESEL ;1990; REGIÃO NORDESTE ; PARAÍBA ; m3 ;17667,254;12642,296;13852,794;16604,389;13754,413;13010,385;14549,705;12860,191;18221,47;13134,005;19447,868;16460,932;182205,702; 
ÓLEO DIESEL ;1990; REGIÃO NORDESTE ; PERNAMBUCO ; m3 ;61794,347;44726,179;42049,327;52641,354;44902,154;40516,833;41451,238;40643,498;50431,687;43209,071;67510,049;53346,364;583222,101; 
ÓLEO DIESEL ;1990; REGIÃO NORDESTE ; ALAGOAS ; m3 ;28769,618;19881,784;17307,173;18370,033;14663,016;13659,128;13353,479;14285,824;19310,758;17324,709;33593,071;21961,569;232480,162; 
ÓLEO DIESEL ;1990; REGIÃO NORDESTE ; SERGIPE ; m3 ;19540,016;12431,582;12932,819;17781,147;13137,125;14691,707;14617,509;14290,936;18538,015;13204,556;18381,367;15763,199;185309,978; 
ÓLEO DIESEL ;1990; REGIÃO NORDESTE ; BAHIA ; m3 ;128321,288;94338,702;92083,059;132061,499;105500,959;119170,666;130596,401;123869,348;122837,752;91975,711;143605,296;96823,032;1381183,713; 
ÓLEO DIESEL ;1990; REGIÃO SUDESTE ; MINAS GERAIS ; m3 ;263363,457;223046,854;225119,07;324084,975;258566,529;264483,95;276355,609;269883,93;301838,431;242472,328;408923,188;256632,009;3314770,33; 
ÓLEO DIESEL ;1990; REGIÃO SUDESTE ; ESPÍRITO SANTO ; m3 ;51916,473;47605,521;44385,44;61758,613;45815,246;44882,974;48797,55;44512,252;51872,604;49362,416;72850,117;48190,932;611950,138; 
ÓLEO DIESEL ;1990; REGIÃO SUDESTE ; RIO DE JANEIRO ; m3 ;178105,376;112241,518;105076,567;135616,98;118959,315;116209,016;123681,205;124382,344;135576,598;124068,467;246700,674;142404,039;1663022,099; 
ÓLEO DIESEL ;1990; REGIÃO SUDESTE ; SÃO PAULO ; m3 ;592209,401;479283,61;442681,406;581878,356;552666,028;518072,019;583626,497;569030,746;629875,834;549296,723;759546,179;541902,533;6800069,332; 
ÓLEO DIESEL ;1990; REGIÃO SUL ; PARANÁ ; m3 ;153548,404;144427,716;171067,003;234172,8;182613,699;171012,688;184646,912;181672,716;218675,943;190640,997;287861,456;192293,768;2312634,102; 
ÓLEO DIESEL ;1990; REGIÃO SUL ; SANTA CATARINA ; m3 ;76169,899;67498,241;68833,203;91418,877;83114,547;78041,595;82817,967;77768,989;87329,855;71899,476;112629,438;83962,605;981484,692; 
ÓLEO DIESEL ;1990; REGIÃO SUL ; RIO GRANDE DO SUL ; m3 ;180577,363;98559,876;173635,308;213568,069;176838,621;146632,461;160532,326;168724,808;174112,252;151066,351;247683,218;170459,754;2062390,407; 
