COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
QUEROSENE DE AVIAÇÃO ;1990; REGIÃO NORTE ; RONDÔNIA ; m3 ;1342,554;1314,289;724,625;1465,592;1405,082;799,656;1742,08;1097,066;1231,614;630,49;2845,598;1229,789;15828,435; 
QUEROSENE DE AVIAÇÃO ;1990; REGIÃO NORTE ; ACRE ; m3 ;910,8;721,118;338,619;623,138;708,624;346,67;1084,455;321,914;679,641;369,59;1190,074;887,635;8182,278; 
QUEROSENE DE AVIAÇÃO ;1990; REGIÃO NORTE ; AMAZONAS ; m3 ;20706,473;13720,325;9631,247;12035,02;14071,535;11124,706;12804,855;11573,476;13910,941;11785,699;17649,206;15646,882;164660,365; 
QUEROSENE DE AVIAÇÃO ;1990; REGIÃO NORTE ; RORAIMA ; m3 ;553,892;675,273;37,532;5164,984;670,855;129,796;1060,279;26,543;438,029;243,269;652,216;575,687;10228,355; 
QUEROSENE DE AVIAÇÃO ;1990; REGIÃO NORTE ; PARÁ ; m3 ;13465,174;9209,062;5788,807;7445,088;7231,356;9245,445;9693,114;6344,134;6988,269;6333,919;10018,56;7838,916;99601,844; 
QUEROSENE DE AVIAÇÃO ;1990; REGIÃO NORTE ; AMAPÁ ; m3 ;786,631;422,952;239,774;252,536;534,844;329,642;244,027;188,325;188,943;267,696;287,683;360,443;4103,496; 
QUEROSENE DE AVIAÇÃO ;1990; REGIÃO NORTE ; TOCANTINS ; m3 ;124,37;133,939;99,858;0;152,584;100,19;101,194;30,046;171,779;51,774;151,498;110,648;1227,88; 
QUEROSENE DE AVIAÇÃO ;1990; REGIÃO NORDESTE ; MARANHÃO ; m3 ;4709,853;2935,847;1859,728;2360,296;3144,569;2431,885;2400,575;1451,277;2600,47;1740,395;4411,793;2386,484;32433,172; 
QUEROSENE DE AVIAÇÃO ;1990; REGIÃO NORDESTE ; PIAUÍ ; m3 ;1359,025;1010,569;643,317;1257,202;1022,85;968,914;1024,718;863,468;947,709;579,748;2097,416;1001,519;12776,455; 
QUEROSENE DE AVIAÇÃO ;1990; REGIÃO NORDESTE ; CEARÁ ; m3 ;9388,163;4634,727;2431,101;3259,749;3492,891;3207,41;4118,563;2325,11;3455,848;2558,521;5928,785;4548,31;49349,178; 
QUEROSENE DE AVIAÇÃO ;1990; REGIÃO NORDESTE ; RIO GRANDE DO NORTE ; m3 ;2490,337;3681,709;529,883;964,712;2826,643;1432,973;1606,942;718,308;2553,481;3915,715;2385,56;4016,239;27122,502; 
