COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORTE ; RONDÔNIA ; m3 ;51,495;174,885;96,245;72,434;55,155;48,998;89,237;6,35;76,871;31,891;168,106;38,496;910,163; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORTE ; ACRE ; m3 ;20,029;0;0;131,388;26,656;21,396;9,918;29,727;0;0;107,306;9,934;356,354; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORTE ; AMAZONAS ; m3 ;267,162;285,601;354,807;505,976;305,06;328,246;465,675;303,798;335,74;244,649;447,56;310,466;4154,74; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORTE ; RORAIMA ; m3 ;1,22;0,36;0;8,832;2,544;2,18;1,08;0;2,508;10,183;0,86;0,73;30,497; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORTE ; PARÁ ; m3 ;927,708;1590,642;1303,581;1609,953;1126,935;1028,184;856,336;758,857;760,147;904,664;1301,126;762,318;12930,451; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORTE ; AMAPÁ ; m3 ;6,336;1,38;0,216;7,836;0;0;10,662;0;2,4;4,32;1,512;1,512;36,174; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORTE ; TOCANTINS ; m3 ;35,525;10,111;10,116;15,1;20,227;0;14,987;10,116;10,21;1;0;0;127,392; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORDESTE ; MARANHÃO ; m3 ;390,422;338,831;636,665;1644,228;600,865;655,786;675,216;383,225;501,995;535,751;1333,036;752,312;8448,332; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORDESTE ; PIAUÍ ; m3 ;413,402;367,076;471,885;1588,536;1044,799;1067,73;641,934;404,403;581,167;500,289;1260,908;620,109;8962,238; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORDESTE ; CEARÁ ; m3 ;1174,117;648,583;434,192;913,332;1092,227;1362,952;893,034;929,053;1228,521;990,978;1310,438;939,461;11916,888; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORDESTE ; RIO GRANDE DO NORTE ; m3 ;96,019;134,686;208,939;554,516;227,936;402,753;272,611;245,577;167,838;178,318;388,219;224,534;3101,946; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORDESTE ; PARAÍBA ; m3 ;325,942;65,19;441,434;1384,894;357,906;532,459;497,492;260,872;220,533;330,189;889,819;561,676;5868,406; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORDESTE ; PERNAMBUCO ; m3 ;1233,274;664,048;739,321;1029,819;1041,768;965,393;1088,886;1147,104;1037,833;776,126;955,496;886,791;11565,859; 
QUEROSENE ILUMINANTE ;1990; REGIÃO NORDESTE ; ALAGOAS ; m3 ;274,938;75,141;220,473;854,016;207,365;307,413;164,889;140,512;166,419;150,922;578,592;219,698;3360,378; 
